Image ,Form,Student ID,Humans Response,Confidence,What gave it out,Human Answer,Actual Answer,Correct,Average Confidence
,Form 1,S01,Real,3,Background,AI,AI,1,
,,S02,AI,5,Background,,,,
,,S03,AI,4,"Lighting, Background",,,,
,,S04,AI,4,Face or anatomy,,,,
,,S05,AI,3,"Lighting, Texture",,,,
,,S01,Real,4,Shadow,AI,Real,0,
,,S02,AI,5,"Face or anatomy, Background",,,,
,,S03,AI,4,Background,,,,
,,S04,AI,4,Texture,,,,
,,S05,AI,3,"Face or anatomy, Pure intuition",,,,
,,S01,AI,5,Background,AI,Real,0,
,,S02,AI,5,Pure intuition,,,,
,,S03,AI,4,Background,,,,
,,S04,AI,3,Background,,,,
,,S05,AI,3,"Face or anatomy, Lighting, Background",,,,
,,S01,Real,5,Pure intuition,Real,AI,0,
,,S02,AI,5,"Texture, Pure intuition",,,,
,,S03,Real,3,Texture,,,,
,,S04,Real,4,Texture,,,,
,,S05,Real,3,Face or anatomy,,,,
,,S01,Real,4,Pure intuition,Real,AI,0,
,,S02,Real,5,Face or anatomy,,,,
,,S03,Real,4,"Lighting, Shadow, Texture, Background, Color",,,,
,,S04,AI,3,Background,,,,
,,S05,Real,3,"Face or anatomy, Background",,,,
,,S01,AI,5,Background,AI,Real,0,
,,S02,AI,5,"Texture, Background",,,,
,,S03,AI,4,Background,,,,
,,S04,Real,3,Texture,,,,
,,S05,AI,3,"Lighting, Background",,,,
,,S01,Real,5,Pure intuition,Real,AI,0,
,,S02,Real,5,"Face or anatomy, Texture, Background",,,,
,,S03,Real,3,"Face or anatomy, Lighting, Background",,,,
,,S04,Real,4,Texture,,,,
,,S05,Real,3,"Texture, Color",,,,
,,S01,AI,4,Background,AI,AI,1,
,,S02,AI,5,"Texture, Background, Pure intuition",,,,
,,S03,AI,3,"Lighting, Shadow, Background",,,,
,,S04,AI,4,Color,,,,
,,S05,AI,3,"Lighting, Shadow, Background",,,,
,,S01,Real,,Pure intuition,Real,AI,0,
,,S02,Real,5,"Background, Pure intuition",,,,
,,S03,Real,3,"Face or anatomy, Lighting, Shadow, Texture, Background, Color, Text",,,,
,,S04,Real,3,Texture,,,,
,,S05,Real,3,"Face or anatomy, Lighting, Texture",,,,
,,S01,Real,4,Pure intuition,Real,Real,1,
,,S02,AI,5,Pure intuition,,,,
,,S03,Real,3,"Shadow, Background",,,,
,,S04,AI,3,Texture,,,,
,,S05,Real,3,"Lighting, Shadow, Texture",,,,
,,,,,,,,,
,,,,,,,,,
,Form 2,S06,AI,4,Pure intuition,AI,Real,0,
,,S07,AI,4,"Face or anatomy, Lighting, Shadow, Texture",,,,
,,S08,Real,4,Text,,,,
,,S09,AI,4,"Background, Text",,,,
,,S10,Real,5,Color,,,,
,,S06,AI,4,Pure intuition,AI,AI,1,
,,S07,AI,5,Background,,,,
,,S08,Real,3,Texture,,,,
,,S09,AI,3,"Lighting, Texture, Background",,,,
,,S10,AI,5,Background,,,,
,,S06,Real,2,Face or anatomy,AI,AI,1,
,,S07,Real,5,Pure intuition,,,,
,,S08,AI,4,Face or anatomy,,,,
,,S09,AI,3,"Texture, Background",,,,
,,S10,AI,5,Texture,,,,
,,S06,AI,4,Pure intuition,AI,Real,0,
,,S07,AI,4,"Face or anatomy, Lighting",,,,
,,S08,Real,4,Pure intuition,,,,
,,S09,Real,4,"Lighting, Texture, Background",,,,
,,S10,AI,5,Face or anatomy,,,,
,,S06,AI,5,Face or anatomy,AI,Real,0,
,,S07,AI,3,Pure intuition,,,,
,,S08,AI,2,Background,,,,
,,S09,Real,2,"Shadow, Pure intuition",,,,
,,S10,AI,5,"Face or anatomy, Lighting",,,,
,,S06,AI,3,Pure intuition,AI,AI,1,
,,S07,AI,5,"Face or anatomy, Lighting, Shadow, Texture, Background",,,,
,,S08,AI,5,"Lighting, Background",,,,
,,S09,AI,5,"Face or anatomy, Lighting, Shadow",,,,
,,S10,AI,5,Lighting,,,,
,,S06,Real,5,Lighting,Real,Real,1,
,,S07,Real,3,Pure intuition,,,,
,,S08,Real,4,"Texture, Color",,,,
,,S09,Real,4,"Shadow, Texture, Background, Color",,,,
,,S10,AI,5,Texture,,,,
,,S06,AI,5,Face or anatomy,AI,AI,1,
,,S07,AI,2,"Face or anatomy, Lighting, Texture",,,,
,,S08,AI,3,Pure intuition,,,,
,,S09,AI,5,"Face or anatomy, Lighting, Texture, Background, Color",,,,
,,S10,AI,5,Background,,,,
,,S06,AI,5,"Lighting, Shadow",AI,Real,0,
,,S07,AI,5,"Lighting, Shadow, Texture",,,,
,,S08,AI,3,"Lighting, Texture, Background, Color",,,,
,,S09,AI,4,"Lighting, Texture, Background",,,,
