Image No.,Image Filename,Source,File Format,File Size (KB),Width (px),Height (px),Resolution,Aspect Ratio,Orientation,Category,License
1,"ChatGPT Image Aug 8, 2026, 10_21_12 AM.png",ChatGPT / AI-generated,PNG,2042.6,1536,1024,1536 × 1024,1.5,Landscape,Airplane,Synthetic
2,Car Real 2.jpg,Google,JPEG,98.26,1200,675,1200 × 675,1.778,Landscape,Car,CC0
3,bald-eagle-facts.jpg,Google,JPEG,29.2,768,512,768 × 512,1.5,Landscape,Bird,CC0
4,"ChatGPT Image Aug 10, 2026, 03_57_59 PM.png",ChatGPT / AI-generated,PNG,2805.83,1536,1024,1536 × 1024,1.5,Landscape,Cat,Synthetic
5,Fake deer 1.png,ChatGPT / AI-generated,PNG,2706.15,1536,1024,1536 × 1024,1.5,Landscape,Deer,Synthetic
6,dog3.jpg,Google,JPEG,1374.17,3840,2160,3840 × 2160,1.778,Landscape,Dog,CC0
7,"ChatGPT Image Aug 10, 2026, 04_58_42 PM.png",ChatGPT / AI-generated,PNG,2332.52,1402,1122,1402 × 1122,1.25,Landscape,Frog,Synthetic
8,"ChatGPT Image Aug 10, 2026, 04_06_44 PM.png",ChatGPT / AI-generated,PNG,2343.05,1402,1122,1402 × 1122,1.25,Landscape,Horse,Synthetic
9,ai1.png,ChatGPT / AI-generated,PNG,2272.8,1536,1024,1536 × 1024,1.5,Landscape,Ship,Synthetic
10,artem-balashevsky-ZhNYKwjRMh4-unsplash.jpg,Google,JPEG,570.05,3000,2071,3000 × 2071,1.449,Landscape,Truck,CC0
11,jason-rosewell-P5aY_FocXAI-unsplash.jpg,Google,JPEG,719,4485,2616,4485 × 2616,1.714,Landscape,Airplane,CC0
12,Car Fake 3.png,ChatGPT / AI-generated,PNG,2623.74,1536,1024,1536 × 1024,1.5,Landscape,Car,Synthetic
13,"ChatGPT Image Aug 10, 2026, 05_15_39 PM.png",ChatGPT / AI-generated,PNG,1874.61,1402,1122,1402 × 1122,1.25,Landscape,Bird,Synthetic
14,erik-jan-leusink-IbPxGLgJiMI-unsplash.jpg,Google,JPEG,1856.25,4272,2848,4272 × 2848,1.5,Landscape,Cat,CC0
15,young-deer-adorned-with-a-flower-crown.jpg,Google,JPEG,21.7,566,350,566 × 350,1.617,Landscape,Deer,CC0
16,dai1.png,ChatGPT / AI-generated,PNG,2553.17,1402,1122,1402 × 1122,1.25,Landscape,Dog,Synthetic
17,freal2.jpg,Google,JPEG,792.96,4288,2848,4288 × 2848,1.506,Landscape,Frog,CC0
18,"ChatGPT Image Aug 10, 2026, 04_15_18 PM.png",ChatGPT / AI-generated,PNG,2597.33,1402,1122,1402 × 1122,1.25,Landscape,Horse,Synthetic
19,real3.jpg,Google,JPEG,3001.63,3840,2400,3840 × 2400,1.6,Landscape,Ship,CC0
20,"ChatGPT Image Aug 10, 2026, 04_33_53 PM.png",ChatGPT / AI-generated,PNG,2373.46,1536,1024,1536 × 1024,1.5,Landscape,Truck,Synthetic
22,Car real 1.avif,Google,JPEG,206.76,930,620,930 × 620,1.5,Landscape,Airplane,CC0
21,"ChatGPT Image Aug 8, 2026, 10_32_54 AM.png",ChatGPT / AI-generated,PNG,1991.94,1536,1024,1536 × 1024,1.5,Landscape,Car,Synthetic
23,"ChatGPT Image Aug 10, 2026, 05_07_27 PM.png",ChatGPT / AI-generated,PNG,2010.22,1402,1122,1402 × 1122,1.25,Landscape,Bird,Synthetic
24,"ChatGPT Image Aug 10, 2026, 03_54_01 PM.png",ChatGPT / AI-generated,PNG,2312.76,1536,1024,1536 × 1024,1.5,Landscape,Cat,Synthetic
25,Roe-deer-antlers-buck-slovakia.jpg,Google,JPEG,240.12,1600,1088,1600 × 1088,1.471,Landscape,Deer,CC0
26,pexels-mnannapaneni-27744185.jpg,Google,JPEG,1468.2,5460,3640,5460 × 3640,1.5,Landscape,Dog,CC0
27,"ChatGPT Image Aug 10, 2026, 04_54_06 PM.png",ChatGPT / AI-generated,PNG,2106.83,1402,1122,1402 × 1122,1.25,Landscape,Frog,Synthetic
28,soledad-lorieto-bSQ2YL5tytY-unsplash.jpg,Google,JPEG,3401,6000,4000,6000 × 4000,1.5,Landscape,Horse,CC0
29,real2.webp,Google,WEBP,240.88,1600,1067,1600 × 1067,1.5,Landscape,Ship,CC0
30,gabriel-santos-GBVDilE8yvI-unsplash.jpg,Google,JPEG,4220.23,6000,4000,6000 × 4000,1.5,Landscape,Truck,CC0
31,"ChatGPT Image Aug 8, 2026, 11_36_12 AM.png",ChatGPT / AI-generated,PNG,2052.01,1536,1024,1536 × 1024,1.5,Landscape,Airplane,CC0
32,CAR REAL 3.webp,Google,WEBP,54.7,720,600,720 × 600,1.2,Landscape,Car,CC0
33,House-sparrow.webp,Google,WEBP,188.31,1600,1410,1600 × 1410,1.135,Landscape,Bird,CC0
34,stefano-girardelli-PjQ4GoHY7r0-unsplash.jpg,Google,JPEG,3824.47,3456,5184,3456 × 5184,0.667,Portrait,Cat,CC0
35,Fake deer 2.png,ChatGPT / AI-generated,PNG,2810.51,1536,1024,1536 × 1024,1.5,Landscape,Deer,Synthetic
36,adorable-animal-breed-350428.jpg,Google,JPEG,563.83,1920,1442,1920 × 1442,1.331,Landscape,Dog,CC0
37,freal3.jpeg,Google,JPEG,13.64,270,180,270 × 180,1.5,Landscape,Frog,CC0
38,marko-blazevic-O_8TISjo9sA-unsplash.jpg,Google,JPEG,7473.52,5275,8179,5275 × 8179,0.645,Portrait,Horse,CC0
39,real1.jpg,Google,JPEG,1311.57,4032,3024,4032 × 3024,1.333,Landscape,Ship,CC0
40,"ChatGPT Image Aug 10, 2026, 04_39_12 PM.png",ChatGPT / AI-generated,PNG,2147.94,1536,1024,1536 × 1024,1.5,Landscape,Truck,Synthetic
41,beckett-p-ze09IQjOZhk-unsplash.jpg,Google,JPEG,906.16,3686,2073,3686 × 2073,1.778,Landscape,Airplane,CC0
42,Car AI 1.png,ChatGPT / AI-generated,PNG,2492.78,1536,1024,1536 × 1024,1.5,Landscape,Car,Synthetic
43,breal1.jpg,Google,JPEG,84.35,736,1202,736 × 1202,0.612,Portrait,Bird,CC0
44,alex-meier-KGiQFgF7dkc-unsplash.jpg,Google,JPEG,1744.32,3357,4196,3357 × 4196,0.8,Portrait,Cat,CC0
45,Red Deer © Gillian Day.JPG.webp,Google,WEBP,88.06,920,740,920 × 740,1.243,Landscape,Deer,CC0
46,dai2.png,ChatGPT / AI-generated,PNG,2447.26,1402,1122,1402 × 1122,1.25,Landscape,Dog,Synthetic
47,freal1.jpg,Google,JPEG,1799.36,6600,4251,6600 × 4251,1.553,Landscape,Frog,CC0
48,"ChatGPT Image Aug 10, 2026, 04_21_01 PM.png",ChatGPT / AI-generated,PNG,2167.93,1402,1122,1402 × 1122,1.25,Landscape,Horse,Synthetic
49,ai2.png,ChatGPT / AI-generated,PNG,2340.47,1536,1024,1536 × 1024,1.5,Landscape,Ship,Synthetic
50,truck real.jpg,Google,JPEG,197.56,728,547,728 × 547,1.331,Landscape,Truck,CC0
51,john-mcarthur-X_MOr6oa4-k-unsplash.jpg,Google,JPEG,363.29,3027,1982,3027 × 1982,1.527,Landscape,Airplane,CC0
52,Car Fake 2.png,ChatGPT / AI-generated,PNG,2294.98,1536,1024,1536 × 1024,1.5,Landscape,Car,Synthetic
53,"ChatGPT Image Aug 10, 2026, 05_13_50 PM.png",ChatGPT / AI-generated,PNG,2119.62,1402,1122,1402 × 1122,1.25,Landscape,Bird,Synthetic
54,"ChatGPT Image Aug 10, 2026, 03_58_04 PM.png",ChatGPT / AI-generated,PNG,2329.08,1402,1122,1402 × 1122,1.25,Landscape,Cat,Synthetic
55,Fake deer 3.png,ChatGPT / AI-generated,PNG,2761.81,1536,1024,1536 × 1024,1.5,Landscape,Deer,Synthetic
56,dai3.png,ChatGPT / AI-generated,PNG,2567.43,1402,1122,1402 × 1122,1.25,Landscape,Dog,Synthetic
57,"ChatGPT Image Aug 10, 2026, 04_52_23 PM.png",ChatGPT / AI-generated,PNG,2303.3,1402,1122,1402 × 1122,1.25,Landscape,Frog,Synthetic
58,Horse real.jpg,Google,JPEG,65.34,728,485,728 × 485,1.501,Landscape,Horse,CC0
59,ai3.png,ChatGPT / AI-generated,PNG,2254.98,1536,1024,1536 × 1024,1.5,Landscape,Ship,Synthetic
60,"ChatGPT Image Aug 10, 2026, 04_36_38 PM.png",ChatGPT / AI-generated,PNG,2296.1,1535,1025,1535 × 1025,1.498,Landscape,Truck,Synthetic
